Timestamp,Role,Model,Input Tokens,Output Tokens,Total Tokens,Est. Cost ($)
2025-12-12 15:29:40,scorer,qwen2.5:7b,37700,58077,95777,0.00000
2025-12-12 15:29:40,optimizer,qwen2.5:14b,11893,4832,16725,0.00000
2025-12-12 15:58:54,scorer,qwen2.5:7b,14738,20307,35045,0.00000
2025-12-12 15:58:54,optimizer,qwen2.5:14b,10694,4886,15580,0.00000
2025-12-12 16:20:31,scorer,qwen2.5:7b,14738,20108,34846,0.00000
2025-12-12 16:20:31,optimizer,qwen2.5:14b,11213,2575,13788,0.00000
2025-12-12 16:35:26,scorer,qwen2.5:7b,11026,15246,26272,0.00000
2025-12-12 16:35:26,optimizer,qwen2.5:14b,9883,2423,12306,0.00000
2025-12-12 16:40:34,scorer,qwen2.5:7b,11026,15140,26166,0.00000
2025-12-12 16:40:34,optimizer,qwen2.5:14b,9943,2505,12448,0.00000
2025-12-12 16:43:14,scorer,qwen2.5:7b,11026,15210,26236,0.00000
2025-12-12 16:43:14,optimizer,qwen2.5:14b,9442,2304,11746,0.00000
2025-12-12 17:14:42,scorer,qwen2.5:7b,111634,150072,261706,0.00000
2025-12-12 17:14:42,optimizer,qwen2.5:32b,94585,23987,118572,0.00000
2025-12-12 19:17:40,scorer,qwen2.5:7b,11026,15244,26270,0.00000
2025-12-12 19:17:40,optimizer,qwen2.5:32b,9844,2560,12404,0.00000
2025-12-12 19:21:56,scorer,qwen2.5:7b,11026,25048,36074,0.00000
2025-12-12 19:21:56,optimizer,qwen2.5:32b,8254,3101,11355,0.00000
2025-12-13 10:20:25,scorer,qwen2.5:7b,11026,24465,35491,0.00000
2025-12-13 10:20:25,optimizer,qwen2.5:32b,8199,3038,11237,0.00000
2025-12-13 10:28:26,scorer,qwen2.5:7b,19356,41794,61150,0.00000
2025-12-13 10:28:26,optimizer,qwen2.5:32b,12162,4709,16871,0.00000
2025-12-13 10:42:38,scorer,qwen2.5:7b,18238,42233,60471,0.00000
2025-12-13 10:42:38,optimizer,qwen2.5:32b,11086,4643,15729,0.00000
