id,source,status,initial_wrong,verified_success,note
0,mmlu_high_school_mathematics,Success,1,1,
1,mmlu_high_school_mathematics,Success,2,1,
2,mmlu_high_school_world_history,Failed (Verification),5,0,All candidates failed
3,mmlu_high_school_world_history,Success,4,1,
4,mmlu_high_school_physics,Success,5,2,
5,mmlu_high_school_physics,Failed (Verification),6,0,All candidates failed
6,mmlu_professional_law,Success,5,2,
7,mmlu_professional_law,Failed (Verification),4,0,All candidates failed
8,mmlu_business_ethics,Skipped (All Correct),0,0,
9,mmlu_business_ethics,Failed (Verification),4,0,All candidates failed
